,HR_mean,HR_std,HR_skewness,HR_kurtosis,EDA_VLF,EDA_LF,EDA_HF1,EDA_HF2,EDA_VHF
Control vs busy music,0.7421526065218687,0.026087462434905315,0.17222612871905124,0.00562924225286125,0.9501020620635925,0.023887403639221576,0.19887372067818337,0.07645908622288143,0.06585027547844816
Control vs soft music,0.9416930702924595,0.12175089803335137,0.011753645717147026,0.0023831227524502333,0.72781623272403,0.005346711217711777,0.1799724587337932,0.4544717187593522,0.0600275393629487
Control vs subdued colors,0.7781978221876541,0.5453267251291967,0.10854590331731157,0.018853646777097284,0.04402393648713972,0.9146956639539915,0.013786824625463424,0.15260246547143952,0.02660395491438005
Busy music vs soft music,0.4218712973023677,0.17539599327542038,0.018830517471750765,8.861352175810719e-05,0.7050853797378074,0.4943929890662432,0.251836442362625,0.013402578463529762,0.0019176561147414074
