,HR_mean,HR_std,HR_skewness,HR_kurtosis,EDA_VLF,EDA_LF,EDA_HF1,EDA_HF2,EDA_VHF
Control vs busy music,0.9627378003749203,1.0,0.11084027453389399,0.078125,0.17030350292998,0.640625,0.99663528955847,0.9799026390435052,0.9731044716485385
Control vs soft music,0.8784223197477105,0.7196230996858728,0.7421875,0.84375,0.6725163677152934,0.7421875,0.8547590968597367,0.6439125499097778,0.08741787021078858
Control vs subdued colors,0.09428808155461252,0.5666987520670552,0.37514336717766616,0.3828125,0.84375,0.8593110398012072,0.84375,0.8305076867733966,0.9453125
Busy music vs soft music,0.7846766280857328,0.6581569680955931,0.0390625,0.0546875,0.22891323728343954,0.1288202581718516,0.6821103744004618,0.546875,0.1484375
