,HR_mean,HR_std,HR_skewness,HR_kurtosis,EDA_VLF,EDA_LF,EDA_HF1,EDA_HF2,EDA_VHF
Control vs busy music,-0.004886168385767724,0.0,-0.6705012429987292,-0.7222222222222222,0.46319208515462934,-0.2222222222222222,0.0015828860224798048,0.011744068052071018,0.015565881572634017
Control vs soft music,0.02126771893858639,-0.08775644235427245,-0.16666666666666663,-0.11111111111111116,-0.20708912180177783,-0.16666666666666663,0.08922568188169085,-0.24499241151319098,-0.5517511613720926
Control vs subdued colors,0.11311504949284296,0.10115814035839658,-0.4350930029286559,-0.38888888888888884,-0.11111111111111116,-0.07876289009868749,-0.11111111111111116,-0.123467473948907,-0.05555555555555558
Busy music vs soft music,0.02493180703701371,0.1162108779219443,-0.8333333333333334,-0.7777777777777778,-0.6325812351556521,0.7143877118569942,0.14104359058206273,-0.2777777777777778,-0.6111111111111112
