,Time,HP,Power up,Player x,Player y,Player speed_x,Player speed_y,Player bullet x,Player bullet y,Player bullet speed_x,Player bullet speed_y,Enemy x,Enemy y,Enemy speed_x,Enemy speed_y,Enemy bullet x,Enemy bullet y,Enemy bullet speed_x,Enemy bullet speed_y
13,13.19,10,False,945,368,8,5,[],[],[],[],"[764, 147, 228, 1198, 439]","[764, 147, 228, 1198, 439]","[432, 284, -130, 111, 149]","[77, 3, 83, 47, 81]","[252, 329, 1454, 78, 1310, 465, 1070, 284, 889, 376, 483, 823, 688, 254, 487, 568, 614, 712, 544, 206, 392, 1057, 464]","[499, 110, 276, 141, 343, 617, 208, 18, 391, 92, 588, 40, 120, 219, 519, 215, 379, 300, 507, 726, 488, 656, 494]","[-5, -4, 5, -3, 4, -5, 1, -3, 5, 0, -5, 2, -4, 0, 4, -2, -3, 3, -1, 4, 1, -3, 1]","[-2, -3, -2, -4, -3, -2, -5, -4, -3, -5, -1, -5, -4, -5, -3, -5, -5, -4, -5, -3, -5, -4, -5]"
14,13.57,10,False,1105,468,8,5,[],[],[],[],"[919, 269, 182, 1207, 499]","[919, 269, 182, 1207, 499]","[387, 369, -50, -9, 179]","[57, -37, 63, 7, 61]","[152, 249, 18, 1390, 365, 1090, 989, 383, 639, 254, 567, 528, 554, 792, 526, 286, 412, 997, 484]","[459, 50, 59, 283, 577, 108, 331, 568, 41, 119, 459, 115, 279, 220, 407, 666, 388, 576, 394]","[-5, -4, -3, 4, -5, 1, 5, -5, 1, 0, 4, -2, -3, 4, 0, 4, 1, -3, 1]","[-2, -3, -5, -3, -2, -5, -3, -1, -3, -5, -3, -5, -5, -4, -5, -3, -5, -4, -5]"
15,13.92,10,False,1245,576,4,8,[],[],[],[],"[1050, 419, 170, 1168, 559]","[1050, 419, 170, 1168, 559]","[315, 423, 30, -129, 199]","[37, -76, 43, -33, 41]","[52, 1470, 265, 1136, 1089, 283, 719, 270, 647, 488, 510, 872, 526, 366, 438, 937, 523, 966, 416, 330, 1281, 646]","[414, 223, 537, 14, 284, 542, 90, 19, 399, 15, 179, 154, 307, 606, 288, 496, 294, 611, 751, 676, 695, 689]","[-5, 4, -5, 3, 5, -5, 4, 1, 4, -2, -2, 4, 0, 4, 2, -3, 2, 0, 5, 5, 2, 5]","[-3, -3, -2, -4, -2, -2, 3, -5, -3, -5, -5, -3, -5, -3, -5, -4, -5, -5, -2, -1, -5, 0]"
16,14.29,10,False,1180,576,0,0,[1224],[669],[-3],[4],"[1146, 579, 189, 1086, 639]","[1146, 579, 189, 1086, 639]","[219, 449, 110, -229, 202]","[17, -96, 23, -69, 21]","[165, 1189, 183, 799, 729, 470, 962, 526, 446, 478, 877, 563, 973, 516, 430, 1321, 746]","[497, 244, 502, 151, 339, 79, 96, 207, 546, 188, 416, 194, 511, 711, 656, 595, 689]","[-5, 5, -5, 4, 5, -2, 5, 0, 4, 2, -3, 2, 1, 5, 5, 2, 5]","[-2, -2, -2, 4, -3, -5, -2, -5, -3, -5, -4, -5, -5, -2, -1, -5, 0]"
17,14.62,10,False,1065,497,0,0,[],[],[],[],"[749, 242, 970, 719, 1153]","[749, 242, 970, 719, 1153]","[461, 210, -293, 210, -30]","[-96, 23, -69, 21, -1]","[65, 1289, 83, 879, 829, 1062, 542, 526, 533, 817, 618, 993, 616, 530, 1350, 846, 742, 298, 1088, 768, 1181]","[450, 204, 462, 231, 279, 56, 107, 486, 93, 316, 94, 411, 671, 636, 495, 689, 653, 684, 683, 703, 803]","[-5, 5, -5, 4, 5, 5, 1, 4, 3, -3, 3, 1, 5, 5, 1, 5, 3, 5, 2, 5, -3]","[-3, -2, -2, 4, -3, -2, -5, -3, -4, -5, -5, -5, -2, -1, -5, 0, -4, -1, -5, 1, -4]"
18,14.95,10,False,1060,505,0,0,[],[],[],[],"[929, 340, 836, 799, 1119]","[929, 340, 836, 799, 1119]","[458, 317, -310, 223, -90]","[-60, 43, -49, 41, -1]","[1389, 959, 929, 1162, 577, 606, 593, 757, 678, 1028, 716, 630, 1370, 946, 802, 398, 1128, 868, 1121]","[164, 311, 223, 26, 7, 426, 13, 216, 14, 311, 631, 616, 395, 689, 573, 664, 583, 723, 708]","[5, 4, 5, 5, 2, 4, 3, -3, 3, 2, 5, 5, 1, 5, 3, 5, 2, 5, -3]","[-2, 4, -2, -1, -5, -3, -4, -5, -4, -5, -2, -1, -5, 0, -4, -1, -5, 1, -5]"
19,15.3,10,False,986,465,-8,-5,[],[],[],[],"[1095, 475, 697, 879, 1062]","[1095, 475, 697, 879, 1062]","[420, 402, -300, 221, -148]","[-20, 63, -22, 61, 1]","[1489, 1033, 1029, 1262, 704, 717, 1068, 816, 730, 1390, 1046, 862, 498, 1149, 968, 1061]","[137, 391, 183, 10, 366, 116, 211, 591, 596, 295, 689, 493, 644, 483, 743, 608]","[5, 3, 5, 5, 5, -2, 2, 5, 5, 1, 5, 3, 5, 1, 5, -3]","[-1, 4, -2, 0, -3, -5, -5, -2, -1, -5, 0, -4, -1, -5, 1, -5]"
20,15.66,10,False,918,308,2,-9,[],[],[],[],"[1241, 638, 577, 959, 983]","[1241, 638, 577, 959, 983]","[350, 454, -265, 201, -188]","[20, 83, 18, 81, 21]","[1093, 1129, 1362, 804, 677, 1108, 916, 830, 1409, 1146, 922, 598, 1169, 1068, 1001, 1082, 622, 831, 875, 1094]","[471, 143, 10, 306, 16, 111, 551, 576, 195, 689, 413, 624, 383, 745, 508, 535, 713, 652, 610, 655]","[3, 5, 5, 5, -2, 2, 5, 5, 0, 5, 3, 5, 1, 5, -3, -3, 5, 5, -2, 0]","[4, -2, 0, -3, -5, -5, -2, -1, -5, 0, -4, -1, -5, 0, -5, -4, 0, 0, -5, -5]"
21,16.04,10,False,904,140,-8,-5,[],[],[],[],"[1352, 818, 472, 1020, 891]","[1352, 818, 472, 1020, 891]","[255, 473, -207, 164, -212]","[60, 103, 58, 101, 41]","[1153, 1229, 1462, 904, 1148, 1016, 930, 1409, 1246, 982, 698, 1189, 1168, 941, 1022, 722, 931, 835, 1094]","[551, 103, 10, 246, 11, 511, 556, 95, 686, 333, 604, 283, 745, 408, 455, 713, 652, 510, 555]","[3, 5, 5, 5, 2, 5, 5, 0, 5, 3, 5, 1, 5, -3, -3, 5, 5, -2, 0]","[4, -2, 0, -3, -5, -2, -1, -5, -1, -4, -1, -5, 0, -5, -4, 0, 0, -5, -5]"
22,16.41,10,False,725,122,-9,1,[],[],[],[],"[1418, 994, 393, 1067, 791]","[1418, 994, 393, 1067, 791]","[119, 436, -148, 104, -237]","[80, 85, 71, 87, 30]","[1226, 1329, 1004, 1116, 1030, 1346, 1042, 798, 1195, 1268, 881, 962, 822, 1031, 795, 1090, 1389, 958, 504, 1078, 871]","[631, 63, 186, 471, 536, 666, 253, 584, 183, 733, 308, 375, 710, 633, 410, 455, 617, 730, 621, 730, 707]","[4, 5, 5, 5, 5, 5, 3, 5, 0, 5, -3, -3, 5, 5, -2, -1, -5, 0, 3, -2, 0]","[4, -2, -3, -2, -1, -1, -4, -1, -5, -1, -5, -4, -1, -1, -5, -5, -2, -5, -4, -5, -5]"
23,16.75,10,False,546,167,-8,4,[],[],[],[],"[1422, 1142, 335, 1079, 679]","[1422, 1142, 335, 1079, 679]","[-41, 346, -97, 5, -262]","[79, 45, 51, 47, -7]","[1273, 1429, 1104, 1216, 1130, 1446, 1102, 898, 1195, 1362, 821, 902, 922, 1131, 755, 1070, 1289, 958, 564, 1038, 871]","[712, 23, 126, 411, 516, 646, 173, 564, 83, 686, 208, 295, 690, 610, 310, 355, 577, 630, 541, 630, 607]","[-2, 5, 5, 5, 5, 5, 3, 5, 0, 4, -3, -3, 5, 5, -2, -1, -5, 0, 3, -2, 0]","[3, -2, -3, -3, -1, -1, -4, -1, -5, -3, -5, -4, -1, -2, -5, -5, -2, -5, -4, -5, -5]"
24,17.08,10,False,402,284,-6,7,[],[],[],[],"[1363, 1246, 300, 1051, 559]","[1363, 1246, 300, 1051, 559]","[-200, 231, -37, -87, -263]","[59, 5, 31, 7, -27]","[1174, 1190, 1311, 1230, 1161, 998, 1422, 761, 842, 1022, 1231, 715, 1050, 1189, 958, 624, 998, 871]","[686, 66, 351, 496, 74, 544, 601, 117, 215, 670, 570, 210, 255, 537, 530, 461, 530, 507]","[-5, 4, 4, 5, 2, 5, 2, -3, -3, 5, 5, -2, -1, -5, 0, 3, -2, 0]","[-2, -3, -3, -1, -5, -1, -5, -4, -4, -1, -2, -5, -5, -2, -5, -4, -5, -5]"
25,17.48,10,False,333,452,-2,9,[],[],[],[],"[1244, 1302, 288, 989, 447]","[1244, 1302, 288, 989, 447]","[-337, 97, 23, -167, -239]","[39, -35, 11, -33, -47]","[1074, 1270, 1391, 1330, 1098, 1426, 701, 782, 1122, 1324, 668, 1027, 1089, 958, 684, 958, 871, 1299, 1185, 294, 1004, 632]","[646, 6, 291, 469, 524, 501, 37, 135, 637, 516, 110, 155, 497, 430, 381, 430, 407, 634, 761, 584, 715, 636]","[-5, 4, 4, 5, 5, -1, -3, -3, 5, 4, -3, -2, -5, 0, 3, -2, 0, -5, -5, -2, -4, 1]","[-2, -3, -3, -2, -1, -5, -4, -4, -2, -3, -5, -5, -2, -5, -4, -5, -5, -2, -2, -5, -4, -5]"
