,Time,HP,Power up,Player x,Player y,Player speed_x,Player speed_y,Player bullet x,Player bullet y,Player bullet speed_x,Player bullet speed_y,Enemy x,Enemy y,Enemy speed_x,Enemy speed_y,Enemy bullet x,Enemy bullet y,Enemy bullet speed_x,Enemy bullet speed_y
13,13.01,9,False,525,249,-9,-3,[],[],[],[],"[750, 575, 963, 1219, 251]","[750, 575, 963, 1219, 251]","[-353, 45, 511, 413, -152]","[13, 102, 3, 59, 68]","[1500, 278, 445, 960, 1011, 465, 797, 1426, 728, 797, 1300, 997, 957, 636, 866, 1001, 991, 700, 634, 901, 570]","[227, 9, 120, 255, 323, 419, 299, 463, 501, 661, 35, 335, 291, 610, 502, 317, 608, 537, 520, 586, 599]","[-2, -1, -3, 4, 5, -5, -4, 5, 5, 5, 0, -3, 4, 5, 5, 3, 0, 3, -2, -3, 4]","[-5, -5, -4, -3, -2, -3, -4, -2, -2, -1, -5, -4, -4, -1, -2, -5, -5, -5, -5, -4, -3]"
14,13.39,9,False,507,243,0,0,[],[],[],[],"[590, 575, 1140, 1348, 199]","[590, 575, 1140, 1348, 199]","[-364, 45, 424, 280, -72]","[-21, 74, -15, 39, 48]","[1443, 385, 1040, 1111, 365, 717, 1520, 828, 897, 937, 1037, 736, 966, 1060, 991, 743, 594, 841, 650]","[139, 40, 195, 283, 359, 219, 408, 461, 641, 255, 211, 590, 455, 217, 508, 437, 420, 506, 539]","[-4, -3, 4, 5, -5, -4, 4, 5, 5, -3, 4, 5, 5, 2, 0, 2, -2, -3, 4]","[-4, -4, -3, -2, -3, -4, -3, -2, -1, -4, -4, -1, -3, -5, -5, -5, -5, -4, -3]"
15,13.74,9,False,402,276,-6,7,[],[],[],[],"[434, 575, 1277, 1418, 177]","[434, 575, 1277, 1418, 177]","[-343, 45, 307, 125, 8]","[-41, 34, -15, 19, 28]","[1358, 1120, 1211, 265, 637, 928, 997, 877, 1117, 836, 1063, 1100, 991, 783, 554, 781, 730, 541, 663, 1087, 1288, 272]","[78, 135, 243, 299, 146, 421, 621, 175, 131, 562, 395, 117, 408, 337, 320, 426, 479, 679, 665, 636, 701, 630]","[-5, 4, 5, -5, -4, 5, 5, -3, 4, 5, 4, 2, 0, 2, -2, -3, 4, -4, 2, -5, -5, 2]","[-2, -3, -2, -3, -3, -2, -1, -4, -4, -2, -3, -5, -5, -5, -5, -4, -3, -4, -5, -1, -2, -5]"
16,14.13,9,False,305,387,-6,7,[],[],[],[],"[297, 575, 1361, 1425, 187]","[297, 575, 1361, 1425, 187]","[-293, 45, 167, -35, 88]","[-61, -6, -15, -1, 8]","[1258, 1200, 1311, 165, 557, 1028, 1097, 817, 1186, 936, 1143, 1140, 991, 822, 514, 721, 810, 461, 703, 987, 1188, 312]","[43, 60, 203, 239, 86, 381, 601, 95, 51, 522, 335, 17, 308, 237, 220, 346, 419, 599, 565, 616, 661, 530]","[-5, 4, 5, -5, -4, 5, 5, -3, 3, 5, 4, 2, 0, 1, -2, -3, 4, -4, 2, -5, -5, 2]","[-1, -4, -2, -3, -3, -2, -1, -4, -4, -2, -3, -5, -5, -5, -5, -4, -3, -4, -5, -1, -2, -5]"
17,14.51,9,False,344,348,6,-7,[310],[526],[-1],[5],"[187, 583, 1387, 1369, 232]","[187, 583, 1387, 1369, 232]","[-198, 65, 30, -175, 188]","[-61, -24, 5, -1, 8]","[1158, 1411, 65, 477, 1128, 1197, 742, 1036, 1223, 991, 842, 458, 661, 890, 381, 743, 887, 1088, 352, 315, 560, 1381, 1395, 274]","[27, 163, 179, 26, 341, 581, 15, 482, 275, 208, 137, 120, 266, 359, 519, 465, 596, 621, 430, 655, 752, 615, 718, 689]","[-5, 5, -5, -4, 5, 5, -4, 5, 4, 0, 1, -3, -3, 4, -4, 2, -5, -5, 2, 4, -5, -5, -5, 2]","[0, -2, -3, -3, -2, -1, -4, -2, -3, -5, -5, -5, -4, -3, -4, -5, -1, -2, -5, -3, -1, -1, -2, -5]"
18,14.89,9,False,480,257,9,2,[290],[626],[-1],[5],"[126, 606, 1365, 1267, 321]","[126, 606, 1365, 1267, 321]","[-63, 105, -89, -276, 298]","[-23, -4, 45, 19, 28]","[1058, 1511, 1228, 1297, 1136, 1303, 991, 856, 398, 581, 970, 301, 783, 787, 988, 392, 395, 460, 1281, 1295, 314]","[27, 119, 298, 556, 442, 199, 108, 37, 40, 186, 289, 439, 365, 576, 581, 330, 595, 732, 595, 678, 589]","[-5, 5, 5, 5, 5, 4, 0, 0, -3, -4, 4, -4, 2, -5, -5, 2, 4, -5, -5, -5, 2]","[0, -3, -3, -2, -2, -4, -5, -5, -4, -4, -4, -4, -5, -1, -2, -5, -3, -1, -1, -2, -5]"
19,15.22,9,False,557,285,9,2,[270],[726],[-1],[5],"[121, 646, 1299, 1132, 451]","[121, 646, 1299, 1132, 451]","[77, 145, -189, -351, 386]","[17, 16, 85, 39, 48]","[958, 1328, 1397, 1236, 1368, 977, 501, 1050, 221, 804, 687, 888, 432, 475, 360, 1181, 1195, 354]","[27, 238, 516, 402, 119, 8, 106, 209, 359, 265, 556, 541, 230, 523, 712, 575, 638, 489]","[-5, 5, 5, 5, 3, -1, -4, 4, -4, 1, -5, -5, 2, 4, -5, -5, -5, 2]","[0, -3, -2, -2, -4, -5, -4, -4, -4, -5, -1, -2, -5, -4, -1, -1, -2, -5]"
20,15.59,9,False,710,309,9,1,[242],[826],[-2],[5],"[171, 704, 1194, 972, 608]","[171, 704, 1194, 972, 608]","[217, 174, -276, -399, 445]","[57, 36, 122, 59, 68]","[858, 1419, 1497, 1336, 1427, 421, 1130, 152, 824, 587, 788, 472, 555, 260, 1081, 1095, 394, 237, 643, 1237, 1059, 493]","[27, 178, 476, 348, 30, 26, 129, 279, 165, 518, 501, 130, 443, 690, 555, 598, 389, 541, 630, 597, 660, 627]","[-5, 4, 5, 5, 2, -4, 4, -3, 1, -5, -5, 2, 4, -5, -5, -5, 2, 4, -2, -5, -5, 0]","[0, -3, -2, -3, -5, -4, -4, -4, -5, -2, -2, -5, -4, -2, -1, -2, -5, -4, -5, -2, -3, -5]"
21,15.94,9,False,817,295,9,-1,[],[],[],[],"[273, 764, 1060, 792, 786]","[273, 764, 1060, 792, 786]","[337, 194, -340, -412, 471]","[97, 56, 142, 79, 78]","[758, 1499, 1425, 1199, 92, 844, 487, 688, 515, 635, 160, 981, 995, 453, 317, 618, 1137, 959, 493]","[27, 118, 288, 49, 199, 65, 478, 461, 30, 363, 650, 535, 558, 289, 467, 530, 557, 600, 527]","[-5, 4, 4, 3, -3, 1, -5, -5, 3, 4, -5, -5, -5, 3, 4, -1, -5, -5, 0]","[0, -3, -3, -4, -4, -5, -2, -2, -5, -4, -2, -1, -2, -5, -3, -5, -2, -3, -5]"
22,16.29,9,False,983,329,8,5,[],[],[],[],"[417, 824, 905, 612, 963]","[417, 824, 905, 612, 963]","[411, 176, -393, -409, 441]","[103, 55, 142, 65, 58]","[658, 1505, 32, 387, 588, 715, 60, 881, 895, 513, 397, 598, 1037, 859, 500, 431, 881, 1022, 732, 964]","[39, 228, 110, 438, 421, 300, 610, 515, 518, 190, 407, 430, 517, 540, 427, 644, 717, 688, 715, 741]","[-5, 4, -3, -5, -5, 4, -5, -5, -5, 3, 4, -1, -5, -5, 1, 4, 4, 0, 0, 4]","[1, -3, -5, -2, -2, -3, -2, -1, -2, -4, -3, -5, -2, -3, -5, -3, -4, -5, -5, -4]"
